hospital_name,address,city,latitude,longitude,specialties,insurers,rating,phone,website
Delhi Specialty Clinic 20,"Sector 99, Delhi",Delhi,28.554929,77.380783,dental|dermatology|physiotherapy,Care Health|ICICI Lombard,4.4,+91-1899056798,https://www.delhi20.example.com
Delhi Multicare Hospital 21,"Sector 5, Delhi",Delhi,28.654196,77.280635,dental|dermatology|neurology,HDFC ERGO|Niva Bupa,3.9,+91-5699262193,https://www.delhi21.example.com
Delhi Specialty Clinic 22,"Sector 77, Delhi",Delhi,28.705514,77.272287,dental|neurology|orthopedics|physiotherapy,ICICI Lombard|Star Health,3.8,+91-4432238180,https://www.delhi22.example.com
Delhi Multicare Hospital 23,"Sector 117, Delhi",Delhi,28.582769,77.361702,dental|oncology|orthopedics|pediatrics,HDFC ERGO|Niva Bupa|Star Health,4.0,+91-3979148350,https://www.delhi23.example.com
Delhi Specialty Clinic 24,"Sector 77, Delhi",Delhi,28.56739,77.077591,ent|neurology|orthopedics,Care Health|HDFC ERGO|ICICI Lombard,3.8,+91-0501049850,https://www.delhi24.example.com
Delhi Multicare Hospital 25,"Sector 99, Delhi",Delhi,28.605645,77.310624,dental|ent|oncology|orthopedics|physiotherapy,ICICI Lombard|Star Health,4.6,+91-9920480230,https://www.delhi25.example.com
Delhi Specialty Clinic 26,"Sector 92, Delhi",Delhi,28.690329,77.335545,cardiology|ophthalmology|orthopedics|pediatrics|physiotherapy,Care Health|Niva Bupa,4.7,+91-0644126515,https://www.delhi26.example.com
Delhi Multicare Hospital 27,"Sector 79, Delhi",Delhi,28.729978,77.313594,dermatology|ent|neurology|oncology|pediatrics,Care Health|HDFC ERGO|ICICI Lombard,4.7,+91-9709037415,https://www.delhi27.example.com
Delhi Specialty Clinic 28,"Sector 107, Delhi",Delhi,28.464895,77.201683,cardiology|dental|ophthalmology|orthopedics|pediatrics,HDFC ERGO|ICICI Lombard|Star Health,4.0,+91-9224419545,https://www.delhi28.example.com
Delhi Multicare Hospital 29,"Sector 90, Delhi",Delhi,28.606186,77.124008,dermatology|ent|neurology|orthopedics,Care Health|ICICI Lombard,4.8,+91-0930702375,https://www.delhi29.example.com
Delhi Specialty Clinic 30,"Sector 78, Delhi",Delhi,28.669304,77.144935,cardiology|dental|orthopedics|pediatrics,HDFC ERGO|ICICI Lombard|Star Health,4.1,+91-4968065980,https://www.delhi30.example.com
Delhi Multicare Hospital 31,"Sector 10, Delhi",Delhi,28.58869,77.035713,cardiology|dermatology|oncology|pediatrics|physiotherapy,Care Health|Niva Bupa,4.8,+91-1754804545,https://www.delhi31.example.com
Delhi Specialty Clinic 32,"Sector 94, Delhi",Delhi,28.599036,77.021982,dental|oncology|ophthalmology|orthopedics|pediatrics,Care Health|HDFC ERGO|Niva Bupa,3.8,+91-5075281792,https://www.delhi32.example.com
Delhi Multicare Hospital 33,"Sector 26, Delhi",Delhi,28.582852,77.249603,dental|ent|ophthalmology|pediatrics,HDFC ERGO|ICICI Lombard|Niva Bupa,4.3,+91-2051794691,https://www.delhi33.example.com
Delhi Specialty Clinic 34,"Sector 65, Delhi",Delhi,28.686426,77.161638,dental|neurology|oncology|ophthalmology|orthopedics,HDFC ERGO|Niva Bupa,4.8,+91-8122075784,https://www.delhi34.example.com
Delhi Multicare Hospital 35,"Sector 85, Delhi",Delhi,28.578757,77.173487,dermatology|neurology|oncology,Care Health|HDFC ERGO,4.2,+91-2506080061,https://www.delhi35.example.com
Delhi Specialty Clinic 36,"Sector 51, Delhi",Delhi,28.678218,77.21685,cardiology|dental|dermatology|orthopedics|pediatrics,Care Health|Niva Bupa,4.4,+91-5804603519,https://www.delhi36.example.com
Delhi Multicare Hospital 37,"Sector 118, Delhi",Delhi,28.732249,77.205814,cardiology|dental|ent|physiotherapy,HDFC ERGO|ICICI Lombard|Niva Bupa,4.5,+91-3394397557,https://www.delhi37.example.com
Delhi Specialty Clinic 38,"Sector 107, Delhi",Delhi,28.492858,77.159325,ent|neurology|ophthalmology|pediatrics,Care Health|ICICI Lombard,3.9,+91-2785604493,https://www.delhi38.example.com
Delhi Multicare Hospital 39,"Sector 40, Delhi",Delhi,28.617916,77.298832,dermatology|neurology|ophthalmology|orthopedics|physiotherapy,ICICI Lombard|Star Health,4.8,+91-1611025786,https://www.delhi39.example.com
Delhi Specialty Clinic 40,"Sector 107, Delhi",Delhi,28.68877,77.151677,dermatology|ent|ophthalmology|physiotherapy,Care Health|HDFC ERGO|Star Health,4.4,+91-0627207210,https://www.delhi40.example.com
Delhi Multicare Hospital 41,"Sector 66, Delhi",Delhi,28.595523,77.332476,ent|neurology|oncology|pediatrics,Care Health|HDFC ERGO,4.8,+91-1066167086,https://www.delhi41.example.com
Delhi Specialty Clinic 42,"Sector 72, Delhi",Delhi,28.558367,77.157768,dental|neurology|oncology|ophthalmology,Care Health|HDFC ERGO|Star Health,4.0,+91-6169606422,https://www.delhi42.example.com
Delhi Multicare Hospital 43,"Sector 2, Delhi",Delhi,28.493556,77.353879,cardiology|ent|ophthalmology,ICICI Lombard|Niva Bupa|Star Health,4.4,+91-1423957097,https://www.delhi43.example.com
Delhi Specialty Clinic 44,"Sector 96, Delhi",Delhi,28.612467,77.236392,ent|orthopedics|pediatrics,Care Health|HDFC ERGO,4.8,+91-1645149385,https://www.delhi44.example.com
Delhi Multicare Hospital 45,"Sector 102, Delhi",Delhi,28.603183,77.153235,cardiology|dermatology|oncology|orthopedics,Care Health|Niva Bupa,4.3,+91-9094915024,https://www.delhi45.example.com
Delhi Specialty Clinic 46,"Sector 21, Delhi",Delhi,28.510522,77.256701,dental|ent|oncology|ophthalmology|pediatrics,HDFC ERGO|Niva Bupa|Star Health,3.8,+91-3223018914,https://www.delhi46.example.com
Delhi Multicare Hospital 47,"Sector 1, Delhi",Delhi,28.522511,77.099878,ophthalmology|orthopedics|pediatrics,Care Health|HDFC ERGO|Niva Bupa,3.9,+91-0098607274,https://www.delhi47.example.com
Delhi Specialty Clinic 48,"Sector 80, Delhi",Delhi,28.671904,77.285373,neurology|oncology|ophthalmology|pediatrics,Care Health|HDFC ERGO|Niva Bupa,4.0,+91-4596468271,https://www.delhi48.example.com
Delhi Multicare Hospital 49,"Sector 95, Delhi",Delhi,28.711691,77.179491,cardiology|oncology|ophthalmology|pediatrics,Care Health|Star Health,4.8,+91-7966670358,https://www.delhi49.example.com
Delhi Specialty Clinic 50,"Sector 109, Delhi",Delhi,28.624372,77.349683,cardiology|ophthalmology|orthopedics|pediatrics,HDFC ERGO|ICICI Lombard|Star Health,4.2,+91-0487898634,https://www.delhi50.example.com
Jaipur Multicare Hospital 1,"Sector 114, Jaipur",Jaipur,26.778249,75.763073,dental|ophthalmology|orthopedics|physiotherapy,HDFC ERGO|Niva Bupa|Star Health,4.7,+91-4567718633,https://www.jaipur1.example.com
Jaipur Specialty Clinic 2,"Sector 109, Jaipur",Jaipur,26.996516,75.918327,neurology|orthopedics|pediatrics|physiotherapy,ICICI Lombard|Niva Bupa|Star Health,4.0,+91-8239092110,https://www.jaipur2.example.com
Jaipur Multicare Hospital 3,"Sector 102, Jaipur",Jaipur,26.937165,75.756865,neurology|oncology|physiotherapy,HDFC ERGO|ICICI Lombard|Star Health,3.8,+91-1987841757,https://www.jaipur3.example.com
Jaipur Specialty Clinic 4,"Sector 18, Jaipur",Jaipur,26.89543,75.795555,neurology|ophthalmology|orthopedics|physiotherapy,HDFC ERGO|ICICI Lombard,4.4,+91-0572708849,https://www.jaipur4.example.com
Jaipur Multicare Hospital 5,"Sector 60, Jaipur",Jaipur,26.935305,75.736419,cardiology|dermatology|oncology|ophthalmology|orthopedics,Care Health|HDFC ERGO|Niva Bupa,4.6,+91-6108071725,https://www.jaipur5.example.com
Jaipur Specialty Clinic 6,"Sector 28, Jaipur",Jaipur,26.997905,75.768197,cardiology|dental|ent|oncology|physiotherapy,Care Health|Niva Bupa,4.3,+91-5971132360,https://www.jaipur6.example.com
Jaipur Multicare Hospital 7,"Sector 51, Jaipur",Jaipur,26.902956,75.622801,cardiology|ent|orthopedics|pediatrics|physiotherapy,Care Health|Star Health,4.7,+91-3135207443,https://www.jaipur7.example.com
Jaipur Specialty Clinic 8,"Sector 3, Jaipur",Jaipur,26.802452,75.731376,dermatology|ent|oncology|orthopedics|physiotherapy,Care Health|HDFC ERGO|Niva Bupa,4.3,+91-7804713624,https://www.jaipur8.example.com
Jaipur Multicare Hospital 9,"Sector 94, Jaipur",Jaipur,26.900751,75.678891,dental|ent|pediatrics|physiotherapy,Care Health|HDFC ERGO,4.2,+91-1770741158,https://www.jaipur9.example.com
Jaipur Specialty Clinic 10,"Sector 8, Jaipur",Jaipur,26.93922,75.826005,dental|ent|oncology|orthopedics|pediatrics,Niva Bupa|Star Health,4.7,+91-1010080395,https://www.jaipur10.example.com
Jaipur Multicare Hospital 11,"Sector 15, Jaipur",Jaipur,26.957958,75.708191,dental|dermatology|ent|ophthalmology,Care Health|Star Health,4.1,+91-7713633595,https://www.jaipur11.example.com
Jaipur Specialty Clinic 12,"Sector 41, Jaipur",Jaipur,27.061968,75.731596,cardiology|ent|oncology|physiotherapy,HDFC ERGO|ICICI Lombard|Star Health,4.6,+91-6462151254,https://www.jaipur12.example.com
Jaipur Multicare Hospital 13,"Sector 35, Jaipur",Jaipur,26.831115,75.832908,dental|dermatology|oncology,Care Health|Niva Bupa|Star Health,4.4,+91-1028394131,https://www.jaipur13.example.com
Jaipur Specialty Clinic 14,"Sector 39, Jaipur",Jaipur,27.007315,75.822807,cardiology|dermatology|ent|neurology,HDFC ERGO|ICICI Lombard|Star Health,4.7,+91-3691644585,https://www.jaipur14.example.com
Jaipur Multicare Hospital 15,"Sector 103, Jaipur",Jaipur,26.901104,75.873169,ent|oncology|pediatrics,Care Health|ICICI Lombard|Star Health,4.4,+91-7369259980,https://www.jaipur15.example.com
Jaipur Specialty Clinic 16,"Sector 76, Jaipur",Jaipur,27.07022,75.685466,dental|neurology|pediatrics,ICICI Lombard|Niva Bupa|Star Health,4.7,+91-5311843906,https://www.jaipur16.example.com
Jaipur Multicare Hospital 17,"Sector 59, Jaipur",Jaipur,26.867436,75.743918,dermatology|ent|pediatrics,HDFC ERGO|ICICI Lombard|Star Health,4.2,+91-8671653631,https://www.jaipur17.example.com
Jaipur Specialty Clinic 18,"Sector 114, Jaipur",Jaipur,26.956564,75.702157,dental|oncology|orthopedics,Care Health|ICICI Lombard|Star Health,4.2,+91-1109770783,https://www.jaipur18.example.com
Jaipur Multicare Hospital 19,"Sector 80, Jaipur",Jaipur,26.834803,75.841324,dermatology|ent|neurology|physiotherapy,ICICI Lombard|Niva Bupa|Star Health,4.8,+91-8483153525,https://www.jaipur19.example.com
Jaipur Specialty Clinic 20,"Sector 1, Jaipur",Jaipur,26.96933,75.755663,dental|ent|oncology|physiotherapy,Care Health|Star Health,4.5,+91-0259279182,https://www.jaipur20.example.com
Jaipur Multicare Hospital 21,"Sector 66, Jaipur",Jaipur,26.957257,75.79202,cardiology|dermatology|ophthalmology|physiotherapy,Care Health|HDFC ERGO|Niva Bupa,3.8,+91-6648323452,https://www.jaipur21.example.com
Jaipur Specialty Clinic 22,"Sector 112, Jaipur",Jaipur,26.909972,75.710488,cardiology|ent|ophthalmology,Care Health|ICICI Lombard|Niva Bupa,3.9,+91-9667099733,https://www.jaipur22.example.com
Jaipur Multicare Hospital 23,"Sector 1, Jaipur",Jaipur,27.013115,75.781226,dental|ent|physiotherapy,HDFC ERGO|Niva Bupa,4.7,+91-7709431723,https://www.jaipur23.example.com
Jaipur Specialty Clinic 24,"Sector 18, Jaipur",Jaipur,27.04354,75.720361,dermatology|ent|oncology|ophthalmology|physiotherapy,ICICI Lombard|Niva Bupa,4.1,+91-2698881264,https://www.jaipur24.example.com
Jaipur Multicare Hospital 25,"Sector 39, Jaipur",Jaipur,26.867873,75.940585,dental|oncology|pediatrics,HDFC ERGO|ICICI Lombard|Niva Bupa,4.5,+91-8705863014,https://www.jaipur25.example.com
Jaipur Specialty Clinic 26,"Sector 8, Jaipur",Jaipur,26.926538,75.738652,cardiology|ent|neurology|oncology,Care Health|HDFC ERGO|ICICI Lombard,4.4,+91-1637593486,https://www.jaipur26.example.com
Jaipur Multicare Hospital 27,"Sector 55, Jaipur",Jaipur,26.846457,75.793869,cardiology|dental|neurology,Care Health|Niva Bupa|Star Health,4.4,+91-5517604531,https://www.jaipur27.example.com
Jaipur Specialty Clinic 28,"Sector 105, Jaipur",Jaipur,26.863244,75.692371,neurology|oncology|pediatrics,Care Health|HDFC ERGO|Niva Bupa,4.8,+91-5439095127,https://www.jaipur28.example.com
Jaipur Multicare Hospital 29,"Sector 67, Jaipur",Jaipur,27.040271,75.808336,cardiology|dental|dermatology|oncology|ophthalmology,Care Health|HDFC ERGO|Niva Bupa,4.4,+91-5030532285,https://www.jaipur29.example.com
Jaipur Specialty Clinic 30,"Sector 8, Jaipur",Jaipur,26.88561,75.707096,dermatology|oncology|physiotherapy,Care Health|HDFC ERGO|Niva Bupa,4.7,+91-1622421981,https://www.jaipur30.example.com
Jaipur Multicare Hospital 31,"Sector 31, Jaipur",Jaipur,27.030561,75.779275,dental|oncology|ophthalmology|orthopedics|pediatrics,Care Health|Star Health,4.7,+91-6333561432,https://www.jaipur31.example.com
Jaipur Specialty Clinic 32,"Sector 14, Jaipur",Jaipur,26.828068,75.641654,cardiology|dermatology|neurology|orthopedics|physiotherapy,HDFC ERGO|ICICI Lombard,4.0,+91-4049144143,https://www.jaipur32.example.com
Jaipur Multicare Hospital 33,"Sector 11, Jaipur",Jaipur,26.812368,75.725691,cardiology|dental|ent|ophthalmology|physiotherapy,Care Health|HDFC ERGO|Niva Bupa,4.5,+91-5949080788,https://www.jaipur33.example.com
Jaipur Specialty Clinic 34,"Sector 29, Jaipur",Jaipur,26.868752,75.934888,cardiology|dermatology|ophthalmology,Care Health|HDFC ERGO|ICICI Lombard,4.8,+91-6724064778,https://www.jaipur34.example.com
Jaipur Multicare Hospital 35,"Sector 51, Jaipur",Jaipur,26.969557,75.886534,dental|ent|neurology|ophthalmology|physiotherapy,HDFC ERGO|Star Health,4.7,+91-2944579507,https://www.jaipur35.example.com
Jaipur Specialty Clinic 36,"Sector 66, Jaipur",Jaipur,26.956157,75.893275,dermatology|ent|neurology|oncology|pediatrics,HDFC ERGO|ICICI Lombard,4.9,+91-4371541907,https://www.jaipur36.example.com
Jaipur Multicare Hospital 37,"Sector 104, Jaipur",Jaipur,26.85265,75.803603,cardiology|dermatology|neurology|pediatrics|physiotherapy,HDFC ERGO|ICICI Lombard,4.1,+91-6081447766,https://www.jaipur37.example.com
Jaipur Specialty Clinic 38,"Sector 86, Jaipur",Jaipur,26.837531,75.827947,cardiology|dermatology|oncology|physiotherapy,Care Health|HDFC ERGO,4.3,+91-6754072526,https://www.jaipur38.example.com
Jaipur Multicare Hospital 39,"Sector 111, Jaipur",Jaipur,26.966695,75.818107,neurology|oncology|physiotherapy,Care Health|HDFC ERGO|Star Health,4.0,+91-9461883359,https://www.jaipur39.example.com
Jaipur Specialty Clinic 40,"Sector 34, Jaipur",Jaipur,26.855831,75.839698,dental|oncology|pediatrics,HDFC ERGO|Niva Bupa,4.0,+91-9454576495,https://www.jaipur40.example.com
Jaipur Multicare Hospital 41,"Sector 45, Jaipur",Jaipur,26.884005,75.754014,cardiology|dental|ent,HDFC ERGO|Niva Bupa|Star Health,4.5,+91-1220257954,https://www.jaipur41.example.com
Jaipur Specialty Clinic 42,"Sector 48, Jaipur",Jaipur,26.918772,75.906722,oncology|ophthalmology|pediatrics,HDFC ERGO|ICICI Lombard|Star Health,4.8,+91-0053356894,https://www.jaipur42.example.com
Jaipur Multicare Hospital 43,"Sector 50, Jaipur",Jaipur,26.877168,75.696806,dental|dermatology|neurology|orthopedics|physiotherapy,HDFC ERGO|ICICI Lombard,4.8,+91-4304943593,https://www.jaipur43.example.com
Jaipur Specialty Clinic 44,"Sector 100, Jaipur",Jaipur,26.9196,75.799097,cardiology|dental|pediatrics|physiotherapy,Care Health|Niva Bupa|Star Health,4.1,+91-9562679598,https://www.jaipur44.example.com
Jaipur Multicare Hospital 45,"Sector 84, Jaipur",Jaipur,26.874484,75.786167,dermatology|neurology|ophthalmology|physiotherapy,Care Health|HDFC ERGO,3.9,+91-6499784941,https://www.jaipur45.example.com
Jaipur Specialty Clinic 46,"Sector 37, Jaipur",Jaipur,26.944544,75.730458,dental|ent|ophthalmology,HDFC ERGO|Niva Bupa|Star Health,3.9,+91-5600719865,https://www.jaipur46.example.com
Jaipur Multicare Hospital 47,"Sector 110, Jaipur",Jaipur,27.069066,75.863302,ent|ophthalmology|orthopedics|physiotherapy,Care Health|HDFC ERGO|Niva Bupa,4.6,+91-7759220643,https://www.jaipur47.example.com
Jaipur Specialty Clinic 48,"Sector 116, Jaipur",Jaipur,27.026475,75.809501,cardiology|dental|ent|physiotherapy,Care Health|Niva Bupa,4.6,+91-1872709325,https://www.jaipur48.example.com
Jaipur Multicare Hospital 49,"Sector 50, Jaipur",Jaipur,26.8545,75.615144,cardiology|dental|ent|neurology|ophthalmology,HDFC ERGO|Star Health,4.2,+91-7193516221,https://www.jaipur49.example.com
Jaipur Specialty Clinic 50,"Sector 92, Jaipur",Jaipur,26.914369,75.683587,cardiology|dental|ophthalmology,Care Health|HDFC ERGO|Star Health,4.6,+91-6064413596,https://www.jaipur50.example.com
Abu Dhabi Multicare Hospital 1,"Sector 3, Abu Dhabi",Abu Dhabi,24.474975,54.331436,cardiology|dermatology|ophthalmology,National Life|Oman Insurance,4.1,+971-18471529,https://www.abudhabi1.example.com
Abu Dhabi Specialty Clinic 2,"Sector 90, Abu Dhabi",Abu Dhabi,24.429195,54.359374,dermatology|ent|neurology|ophthalmology,AXA|Bupa|National Life,4.9,+971-20311277,https://www.abudhabi2.example.com
Abu Dhabi Multicare Hospital 3,"Sector 72, Abu Dhabi",Abu Dhabi,24.432167,54.408431,dermatology|ent|oncology|ophthalmology|pediatrics,ADNIC|AXA,4.7,+971-12056175,https://www.abudhabi3.example.com
Abu Dhabi Specialty Clinic 4,"Sector 62, Abu Dhabi",Abu Dhabi,24.422965,54.298858,dental|ent|neurology|oncology|pediatrics,AXA|Bupa|National Life,4.7,+971-36868237,https://www.abudhabi4.example.com
Abu Dhabi Multicare Hospital 5,"Sector 40, Abu Dhabi",Abu Dhabi,24.473753,54.486453,dental|neurology|pediatrics,AXA|MetLife,4.8,+971-18587602,https://www.abudhabi5.example.com
Abu Dhabi Specialty Clinic 6,"Sector 85, Abu Dhabi",Abu Dhabi,24.499973,54.336653,cardiology|dental|neurology|ophthalmology|physiotherapy,AXA|Oman Insurance,3.9,+971-07675829,https://www.abudhabi6.example.com
Abu Dhabi Multicare Hospital 7,"Sector 21, Abu Dhabi",Abu Dhabi,24.435036,54.356215,dental|dermatology|ent|neurology|oncology,ADNIC|AXA|MetLife,4.1,+971-71680765,https://www.abudhabi7.example.com
Abu Dhabi Specialty Clinic 8,"Sector 17, Abu Dhabi",Abu Dhabi,24.448196,54.366353,ent|neurology|oncology,AXA|MetLife,4.0,+971-50073096,https://www.abudhabi8.example.com
Abu Dhabi Multicare Hospital 9,"Sector 62, Abu Dhabi",Abu Dhabi,24.471153,54.456897,dental|neurology|orthopedics|physiotherapy,AXA|Oman Insurance,4.9,+971-07277409,https://www.abudhabi9.example.com
Abu Dhabi Specialty Clinic 10,"Sector 82, Abu Dhabi",Abu Dhabi,24.461731,54.340794,dermatology|neurology|pediatrics|physiotherapy,ADNIC|AXA|MetLife,4.2,+971-61891291,https://www.abudhabi10.example.com
Abu Dhabi Multicare Hospital 11,"Sector 70, Abu Dhabi",Abu Dhabi,24.437616,54.358456,cardiology|dermatology|ent|neurology|orthopedics,AXA|Bupa|MetLife,3.8,+971-40867854,https://www.abudhabi11.example.com
Abu Dhabi Specialty Clinic 12,"Sector 99, Abu Dhabi",Abu Dhabi,24.418969,54.482719,cardiology|oncology|physiotherapy,AXA|MetLife,3.9,+971-98530761,https://www.abudhabi12.example.com
Abu Dhabi Multicare Hospital 13,"Sector 68, Abu Dhabi",Abu Dhabi,24.440211,54.305184,dental|ophthalmology|pediatrics,AXA|Daman|National Life,4.3,+971-00547137,https://www.abudhabi13.example.com
Abu Dhabi Specialty Clinic 14,"Sector 4, Abu Dhabi",Abu Dhabi,24.452473,54.393936,ent|oncology|orthopedics,Bupa|Daman|MetLife,4.1,+971-49494942,https://www.abudhabi14.example.com
Abu Dhabi Multicare Hospital 15,"Sector 73, Abu Dhabi",Abu Dhabi,24.46685,54.430976,dental|neurology|physiotherapy,Daman|National Life,4.2,+971-12904463,https://www.abudhabi15.example.com
Abu Dhabi Specialty Clinic 16,"Sector 24, Abu Dhabi",Abu Dhabi,24.505869,54.268946,ent|neurology|ophthalmology,Bupa|MetLife|National Life,4.2,+971-40435241,https://www.abudhabi16.example.com
Abu Dhabi Multicare Hospital 17,"Sector 12, Abu Dhabi",Abu Dhabi,24.468272,54.482352,cardiology|dental|dermatology|ent,AXA|MetLife|National Life,4.9,+971-35693507,https://www.abudhabi17.example.com
Abu Dhabi Specialty Clinic 18,"Sector 64, Abu Dhabi",Abu Dhabi,24.566459,54.308577,dermatology|ophthalmology|orthopedics,AXA|Daman,3.9,+971-00007252,https://www.abudhabi18.example.com
Abu Dhabi Multicare Hospital 19,"Sector 110, Abu Dhabi",Abu Dhabi,24.485984,54.202697,cardiology|ent|orthopedics,ADNIC|Daman|National Life,4.6,+971-82217907,https://www.abudhabi19.example.com
Abu Dhabi Specialty Clinic 20,"Sector 1, Abu Dhabi",Abu Dhabi,24.493094,54.407951,cardiology|dental|neurology|ophthalmology|physiotherapy,ADNIC|Oman Insurance,4.6,+971-52721251,https://www.abudhabi20.example.com
Abu Dhabi Multicare Hospital 21,"Sector 106, Abu Dhabi",Abu Dhabi,24.453965,54.328781,cardiology|neurology|ophthalmology|physiotherapy,Bupa|MetLife,4.3,+971-00844242,https://www.abudhabi21.example.com
Abu Dhabi Specialty Clinic 22,"Sector 81, Abu Dhabi",Abu Dhabi,24.407701,54.397195,cardiology|dental|oncology|pediatrics|physiotherapy,ADNIC|AXA|MetLife,4.4,+971-36716117,https://www.abudhabi22.example.com
Abu Dhabi Multicare Hospital 23,"Sector 76, Abu Dhabi",Abu Dhabi,24.425571,54.386347,neurology|oncology|physiotherapy,ADNIC|Bupa,4.6,+971-80281331,https://www.abudhabi23.example.com
Abu Dhabi Specialty Clinic 24,"Sector 49, Abu Dhabi",Abu Dhabi,24.445273,54.433413,ent|neurology|oncology|orthopedics,Bupa|Oman Insurance,4.0,+971-70388432,https://www.abudhabi24.example.com
Abu Dhabi Multicare Hospital 25,"Sector 103, Abu Dhabi",Abu Dhabi,24.45371,54.3197,ent|neurology|pediatrics,Daman|National Life,4.0,+971-85575036,https://www.abudhabi25.example.com
Abu Dhabi Specialty Clinic 26,"Sector 88, Abu Dhabi",Abu Dhabi,24.369913,54.425867,cardiology|dermatology|ent|neurology|pediatrics,ADNIC|AXA|MetLife,3.8,+971-80559449,https://www.abudhabi26.example.com
Abu Dhabi Multicare Hospital 27,"Sector 25, Abu Dhabi",Abu Dhabi,24.441543,54.318255,dental|ent|neurology|pediatrics|physiotherapy,ADNIC|MetLife|Oman Insurance,4.1,+971-07954981,https://www.abudhabi27.example.com
Abu Dhabi Specialty Clinic 28,"Sector 96, Abu Dhabi",Abu Dhabi,24.439794,54.300831,ophthalmology|pediatrics|physiotherapy,AXA|National Life|Oman Insurance,4.7,+971-87753728,https://www.abudhabi28.example.com
Abu Dhabi Multicare Hospital 29,"Sector 77, Abu Dhabi",Abu Dhabi,24.462015,54.41505,dermatology|ent|oncology|ophthalmology|physiotherapy,ADNIC|AXA|National Life,4.0,+971-98989247,https://www.abudhabi29.example.com
